time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.08,-1.45665610854e-06,-2.57728012611e-07,10.0108925729,6.28308411263,0.000480326816663,0.0,-9.08615205695e-05,-1.75039060567e-05,0.272274742673,-0.00342218978341,0.0150657310704,0.0,468.381287005142,469.2589892425605,468.89564008867427,468.6962682712323
0.16,-3.09428133631e-05,-7.12953129196e-06,10.0316378297,6.28245488888,0.0014762147976,0.0,-0.000772920250323,-0.000214083354127,0.246365314321,-0.0159215917389,0.00787119199143,0.0,396.95827676778566,396.46280163708514,398.2865746476111,397.4285046283863
0.23999999999999996,-0.000151660136805,-6.08871442535e-05,10.0568908138,6.28143643763,0.00173744877966,0.0,-0.00230134890056,-0.00128859844665,0.38490583487,-0.00769456386085,-0.00511409372824,0.0,438.2499949220072,437.4398450000335,438.35350316337934,438.86597187987627
0.32,-0.000405600455758,-0.000234493259664,10.0963902152,6.28228143338,0.00247415077903,0.0,-0.00410980857209,-0.00298401738567,0.602450767946,0.0338125837421,0.028400613153,0.0,455.7067365990542,457.7112151720454,455.45775062220235,457.9403402507307
0.4000000000000001,-0.00083928714333,-0.000485237793382,10.1488834363,0.00130905926013,0.00379004272033,0.0,-0.00696826171399,-0.00295144010296,0.709792636889,0.0161060290807,-0.00943480056892,0.0,432.02220478547105,429.62329017763943,431.8943042515945,430.7731851950829
0.48000000000000015,-0.00153318422243,-0.000661245712356,10.212243086,0.00246788566208,0.00224822173007,0.0,-0.0101944704839,-0.00127066637039,0.874040768656,0.011703541367,-0.0394111599916,0.0,445.85561547032046,444.01518775530093,444.7232967773805,444.452692803943
0.5600000000000002,-0.00240856836016,-0.000657931134461,10.2898428103,0.00361605418771,6.28169488298,0.0,-0.011152227969,0.00151759244532,1.06572684367,0.0185697514356,-0.0608444886659,0.0,451.6930043171634,450.39357168104215,451.55849171559174,451.9735562209328
0.6400000000000002,-0.00318461871143,-0.000356733774423,10.389221106,0.00524774143885,6.27686832978,0.0,-0.00739071464634,0.00629158453772,1.41820248469,0.0233446615202,-0.0594858150582,0.0,487.8284572470057,487.90230711667397,486.9901653708658,487.25787321845
0.7200000000000003,-0.0035095756767,0.000352990127573,10.5073242965,0.00802018103714,6.27128605598,0.0,6.24174256065e-06,0.0118022454956,1.53415938987,0.0504426109998,-0.0910766826733,0.0,436.2929408554883,434.306312103999,433.4462567433586,435.1512729241491
0.8000000000000004,-0.00303875404463,0.00160803026201,10.6335436535,0.0122045352741,6.26413330119,0.0,0.0127421342932,0.0201353521648,1.62113623379,0.0553073256166,-0.0867126166445,0.0,428.3623999262163,428.63361405606406,427.62799223908394,427.9405398203063
0.8800000000000004,-0.000973471765018,0.00388706935969,10.7826177694,0.0164265956354,6.25662652051,0.0,0.0403129323928,0.0376756891443,2.10459455721,0.0483573306263,-0.107491133356,0.0,515.2270307029734,514.1178725749633,517.9210703612762,517.5557496588265
0.9600000000000005,0.00356764148238,0.00769957646979,10.9658726931,0.0199092953034,6.24819600959,0.0,0.0747170201922,0.0582714423995,2.47569067487,0.0347231347961,-0.101994861341,0.0,494.9889611953007,495.28373682260553,494.4346214583336,493.68157689391745
1.0400000000000005,0.011099538217,0.0132293115882,11.1747529434,0.023262303937,6.23949145642,0.0,0.114949393668,0.0804756177517,2.74538863422,0.0525646820142,-0.121776292256,0.0,474.8962672746896,473.74715583651937,473.684773996099,474.7134699929598
1.1200000000000006,0.0219130799752,0.0205201215547,11.3982331151,0.0276535932693,6.22876509526,0.0,0.156795535475,0.102380381156,2.84119638892,0.0586140273804,-0.160938464904,0.0,436.4486565465938,433.972485950332,435.73798248303626,436.1191816447329
1.2000000000000006,0.0365091677838,0.0297393295588,11.6299779548,0.0326198313913,6.21662262845,0.0,0.20981352711,0.128767095153,2.95189512361,0.0675175097205,-0.138617637177,0.0,439.4386577757588,440.8019694803723,439.2533191811511,439.8095500369853
1.2800000000000007,0.0555514747503,0.0411476751371,11.8674389463,0.0385696784775,6.20685026417,0.0,0.267531182705,0.157171370943,2.98437430102,0.0845781785307,-0.100729572476,0.0,419.91090243019323,422.3537330241042,421.4264434586583,422.53561778405646
1.3600000000000008,0.0803006487216,0.055433629447,12.1175438522,0.0451662888563,6.19911891788,0.0,0.352416826741,0.201037208727,3.26698947398,0.0787866992559,-0.0902897089145,0.0,479.6645875472982,480.25158531690755,480.9420340207333,480.6178928184458
1.4400000000000008,0.111533144467,0.0731637200235,12.3828957041,0.0510455529254,6.19249159441,0.0,0.429296753301,0.243022551977,3.3662432123,0.0637262604311,-0.0718540736738,0.0,440.0340542823835,441.1714486847311,440.32345424577096,439.39223591195594
1.520000000000001,0.149915137157,0.0948936065955,12.6645697275,0.0571780502061,6.18725340366,0.0,0.531043250204,0.30114048715,3.67409014129,0.0942974496897,-0.0559146564347,0.0,486.6445157319291,487.5357318942343,489.0679665778493,490.77671471521523
1.600000000000001,0.196033079612,0.121183874084,12.9644450826,0.0649465994544,6.18238044742,0.0,0.622516613188,0.357187967268,3.82191580172,0.101564515064,-0.0700703995222,0.0,456.4295910817985,455.57885888146467,453.46494667741746,453.9104210185829
1.680000000000001,0.250048164372,0.15250700084,13.2799607509,0.0726478113051,6.17814144147,0.0,0.728467175644,0.427058730202,4.06455788769,0.0864963337287,-0.0309166716341,0.0,476.08547678082675,478.32519866869416,478.63497946056134,477.78123186458265
